Tissue,Gene,Degree,E_corr,SBM-Level-1,SBM-Level-2,SBM-Level-3,SBM-Level-4,SBM-Level-5,WGCNA
head,FBgn0261606,862,0.354445842,52,8,4,1,1,3
head,FBgn0261608,744,0.344369518,2,2,2,2,1,3
head,FBgn0261609,89,0.272713718,12,7,2,2,1,1
head,FBgn0261617,246,0.297606324,43,4,0,0,0,4
head,FBgn0261618,15,0.244060721,26,20,1,2,1,0
head,FBgn0261625,91,0.262947523,34,16,3,0,0,0
head,FBgn0261641,39,0.251400426,4,4,0,0,0,0
head,FBgn0261647,38,0.247059794,11,3,1,2,1,0
head,FBgn0261648,144,0.260542242,70,6,0,0,0,0
head,FBgn0261649,354,0.269417055,0,0,0,0,0,5
head,FBgn0261671,29,0.248178731,37,6,0,0,0,0
head,FBgn0261673,421,0.274622561,49,0,0,0,0,5
head,FBgn0261698,96,0.253806262,4,4,0,0,0,0
head,FBgn0261703,16,0.244024586,0,0,0,0,0,0
head,FBgn0261710,10,0.245519337,4,4,0,0,0,0
head,FBgn0261714,102,0.270991207,4,4,0,0,0,0
head,FBgn0261722,67,0.253209727,16,10,1,2,1,0
head,FBgn0261789,121,0.251697618,7,1,1,2,1,0
head,FBgn0261791,257,0.265117304,46,1,1,2,1,0
head,FBgn0261792,75,0.251312704,12,7,2,2,1,1
head,FBgn0261793,164,0.26494911,28,15,5,0,0,4
head,FBgn0261794,344,0.268108892,45,6,0,0,0,4
head,FBgn0261797,37,0.243445629,3,3,1,2,1,0
head,FBgn0261800,567,0.28954141,55,0,0,0,0,5
head,FBgn0261801,77,0.263009845,0,0,0,0,0,0
head,FBgn0261802,331,0.263799897,17,11,0,0,0,5
head,FBgn0261804,69,0.253618292,37,6,0,0,0,0
head,FBgn0261808,141,0.269300256,66,14,2,2,1,1
head,FBgn0261811,43,0.246372686,10,4,0,0,0,0
head,FBgn0261822,253,0.284988961,57,11,0,0,0,4
head,FBgn0261823,7,0.241948072,1,1,1,2,1,0
head,FBgn0261836,573,0.301594423,81,11,0,0,0,4
head,FBgn0261854,126,0.252965326,3,3,1,2,1,0
head,FBgn0261859,69,0.265548902,26,20,1,2,1,0
head,FBgn0261862,138,0.256523706,21,14,2,2,1,1
head,FBgn0261871,40,0.268481262,26,20,1,2,1,0
head,FBgn0261872,35,0.245900066,4,4,0,0,0,0
head,FBgn0261873,514,0.291018166,39,15,5,0,0,4
head,FBgn0261885,74,0.252749688,11,3,1,2,1,0
head,FBgn0261928,130,0.258770167,28,15,5,0,0,0
head,FBgn0261931,21,0.248941712,18,20,1,2,1,0
head,FBgn0261933,204,0.259563085,19,12,1,2,1,1
head,FBgn0261934,59,0.257580964,36,3,1,2,1,0
head,FBgn0261953,19,0.252095368,49,0,0,0,0,0
head,FBgn0261954,202,0.261643268,36,3,1,2,1,0
head,FBgn0261955,96,0.261499736,34,16,3,0,0,0
head,FBgn0261963,192,0.263689381,44,19,0,0,0,0
head,FBgn0261985,7,0.245027387,11,3,1,2,1,0
head,FBgn0261986,7,0.265447768,32,10,1,2,1,0
head,FBgn0261988,18,0.244601758,4,4,0,0,0,0
head,FBgn0261989,82,0.316390744,66,14,2,2,1,0
head,FBgn0261990,498,0.322383225,65,16,3,0,0,2
head,FBgn0261995,153,0.257146647,8,7,2,2,1,1
head,FBgn0261999,225,0.263157412,20,13,5,0,0,2
head,FBgn0262003,91,0.269711627,51,9,3,0,0,0
head,FBgn0262018,11,0.247203775,37,6,0,0,0,0
head,FBgn0262035,660,0.331059538,53,5,4,1,1,3
head,FBgn0262057,59,0.249779508,8,7,2,2,1,0
head,FBgn0262081,35,0.244988051,10,4,0,0,0,0
head,FBgn0262103,11,0.249794271,19,12,1,2,1,0
head,FBgn0262108,9,0.247081749,16,10,1,2,1,0
head,FBgn0262109,727,0.290945441,81,11,0,0,0,4
head,FBgn0262114,7,0.250405566,4,4,0,0,0,0
head,FBgn0262115,86,0.250861499,33,10,1,2,1,0
head,FBgn0262116,251,0.267513906,41,18,1,2,1,0
head,FBgn0262117,14,0.23666565,11,3,1,2,1,0
head,FBgn0262123,30,0.262086325,0,0,0,0,0,0
head,FBgn0262124,6,0.242642111,59,18,1,2,1,0
head,FBgn0262125,39,0.26423512,35,10,1,2,1,0
head,FBgn0262126,79,0.286790306,59,18,1,2,1,0
head,FBgn0262127,240,0.26093611,28,15,5,0,0,4
head,FBgn0262160,136,0.267636332,57,11,0,0,0,0
head,FBgn0262362,56,0.295014504,26,20,1,2,1,0
head,FBgn0262467,18,0.24893724,21,14,2,2,1,0
head,FBgn0262473,204,0.268901244,46,1,1,2,1,0
head,FBgn0262475,280,0.262538451,49,0,0,0,0,5
head,FBgn0262476,339,0.267268108,42,15,5,0,0,4
head,FBgn0262477,86,0.256756008,40,9,3,0,0,0
head,FBgn0262481,645,0.311422845,50,5,4,1,1,3
head,FBgn0262483,791,0.293766222,76,15,5,0,0,4
head,FBgn0262508,97,0.256062405,10,4,0,0,0,0
head,FBgn0262509,326,0.269368277,42,15,5,0,0,4
head,FBgn0262511,547,0.287865009,81,11,0,0,0,4
head,FBgn0262512,78,0.264193235,34,16,3,0,0,0
head,FBgn0262515,196,0.260695829,34,16,3,0,0,2
head,FBgn0262517,7,0.248851073,1,1,1,2,1,0
head,FBgn0262518,74,0.256599738,51,9,3,0,0,0
head,FBgn0262519,11,0.24111398,49,0,0,0,0,0
head,FBgn0262527,35,0.24838766,36,3,1,2,1,0
head,FBgn0262559,428,0.300103833,79,14,2,2,1,1
head,FBgn0262562,443,0.268667302,17,11,0,0,0,5
head,FBgn0262563,468,0.282051668,30,8,4,1,1,1
head,FBgn0262579,533,0.342230612,65,16,3,0,0,2
head,FBgn0262582,29,0.255589181,3,3,1,2,1,0
head,FBgn0262593,511,0.276743169,42,15,5,0,0,4
head,FBgn0262601,169,0.256048938,8,7,2,2,1,1
head,FBgn0262614,201,0.270007661,28,15,5,0,0,4
head,FBgn0262617,696,0.288482978,75,19,0,0,0,2
head,FBgn0262636,195,0.260849458,37,6,0,0,0,4
